Chan,Energy,Counts
541,  1298.66,2
542,  1301.23,1
543,  1303.79,0
544,  1306.35,2
545,  1308.92,0
546,  1311.48,2
547,  1314.05,1
548,  1316.61,1
549,  1319.18,1
550,  1321.74,1
551,  1324.31,1
552,  1326.87,3
553,  1329.44,1
554,  1332.00,0
555,  1334.56,0
556,  1337.13,3
557,  1339.69,0
558,  1342.26,1
559,  1344.82,0
560,  1347.39,0
561,  1349.95,2
562,  1352.52,1
563,  1355.08,2
564,  1357.65,1
565,  1360.21,0
566,  1362.77,2
567,  1365.34,0
568,  1367.90,0
569,  1370.47,1
570,  1373.03,1
571,  1375.60,0
572,  1378.16,0
573,  1380.73,1
574,  1383.29,0
575,  1385.85,0
576,  1388.42,1
577,  1390.98,1
578,  1393.55,1
579,  1396.11,1
580,  1398.68,1
581,  1401.24,0
582,  1403.81,2
583,  1406.37,0
584,  1408.94,0
585,  1411.50,1
586,  1414.06,1
587,  1416.63,1
588,  1419.19,1
589,  1421.76,0
590,  1424.32,1
591,  1426.89,0
592,  1429.45,0
593,  1432.02,0
594,  1434.58,1
595,  1437.15,0
596,  1439.71,1
597,  1442.27,0
598,  1444.84,0
599,  1447.40,0
600,  1449.97,0
601,  1452.53,0
602,  1455.10,0
603,  1457.66,0
604,  1460.23,0
605,  1462.79,0
606,  1465.35,1
607,  1467.92,0
608,  1470.48,1
609,  1473.05,0
610,  1475.61,3
611,  1478.18,0
612,  1480.74,0
613,  1483.31,0
614,  1485.87,0
615,  1488.44,0
616,  1491.00,0
617,  1493.56,0
618,  1496.13,0
619,  1498.69,0
620,  1501.26,0
621,  1503.82,0
622,  1506.39,0
623,  1508.95,0
624,  1511.52,0
625,  1514.08,1
626,  1516.65,0
627,  1519.21,1
628,  1521.77,0
629,  1524.34,1
630,  1526.90,0
631,  1529.47,0
632,  1532.03,0
633,  1534.60,0
634,  1537.16,0
635,  1539.73,0
636,  1542.29,0
637,  1544.85,0
638,  1547.42,0
639,  1549.98,0
640,  1552.55,0
641,  1555.11,0
642,  1557.68,0
643,  1560.24,0
644,  1562.81,0
645,  1565.37,0
646,  1567.94,0
647,  1570.50,0
648,  1573.06,0
649,  1575.63,0
650,  1578.19,0
651,  1580.76,0
652,  1583.32,0
653,  1585.89,0
654,  1588.45,0
655,  1591.02,0
656,  1593.58,0
657,  1596.15,0
658,  1598.71,0
659,  1601.27,0
660,  1603.84,0
661,  1606.40,0
662,  1608.97,0
663,  1611.53,1
664,  1614.10,0
665,  1616.66,0
666,  1619.23,0
667,  1621.79,0
668,  1624.35,0
669,  1626.92,0
670,  1629.48,1
671,  1632.05,0
672,  1634.61,0
673,  1637.18,0
674,  1639.74,0
675,  1642.31,0
676,  1644.87,0
677,  1647.44,0
678,  1650.00,0
679,  1652.56,0
680,  1655.13,0
681,  1657.69,0
682,  1660.26,0
683,  1662.82,0
684,  1665.39,0
685,  1667.95,0
686,  1670.52,0
