Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,101.40
Live Time Elapsed:,100.00
Start Time:,Tuesday, January 21, 2025, 14:01:41
End Time:,Tuesday, January 21, 2025, 14:03:23

Channel Data:
Chan,Energy,Counts
495,  1180.69,387
496,  1183.26,364
497,  1185.82,348
498,  1188.39,337
499,  1190.95,348
500,  1193.52,361
501,  1196.08,338
502,  1198.65,292
503,  1201.21,305
504,  1203.77,278
505,  1206.34,285
506,  1208.90,286
507,  1211.47,259
508,  1214.03,234
509,  1216.60,227
510,  1219.16,209
511,  1221.73,209
512,  1224.29,176
513,  1226.85,164
514,  1229.42,155
515,  1231.98,132
516,  1234.55,155
517,  1237.11,125
518,  1239.68,113
519,  1242.24,91
520,  1244.81,103
521,  1247.37,94
522,  1249.94,80
523,  1252.50,94
524,  1255.06,96
525,  1257.63,85
526,  1260.19,105
527,  1262.76,106
528,  1265.32,93
529,  1267.89,96
530,  1270.45,96
531,  1273.02,105
532,  1275.58,124
533,  1278.15,116
534,  1280.71,126
535,  1283.27,118
536,  1285.84,139
537,  1288.40,156
538,  1290.97,162
539,  1293.53,163
540,  1296.10,170
541,  1298.66,185
542,  1301.23,203
543,  1303.79,202
544,  1306.35,213
545,  1308.92,224
546,  1311.48,233
547,  1314.05,264
548,  1316.61,279
549,  1319.18,286
550,  1321.74,282
551,  1324.31,271
552,  1326.87,299
553,  1329.44,297
554,  1332.00,317
555,  1334.56,262
556,  1337.13,285
557,  1339.69,277
558,  1342.26,292
559,  1344.82,268
560,  1347.39,276
561,  1349.95,293
562,  1352.52,284
563,  1355.08,247
564,  1357.65,239
565,  1360.21,241
566,  1362.77,223
567,  1365.34,202
568,  1367.90,197
569,  1370.47,204
570,  1373.03,168
571,  1375.60,156
572,  1378.16,152
573,  1380.73,130
574,  1383.29,137
575,  1385.85,121
576,  1388.42,121
577,  1390.98,104
578,  1393.55,108
579,  1396.11,105
580,  1398.68,85
581,  1401.24,72
582,  1403.81,61
583,  1406.37,65
584,  1408.94,57
585,  1411.50,47
586,  1414.06,36
587,  1416.63,47
588,  1419.19,32
589,  1421.76,51
590,  1424.32,38
591,  1426.89,40
592,  1429.45,23
593,  1432.02,27
594,  1434.58,26
595,  1437.15,21
596,  1439.71,12
597,  1442.27,22
598,  1444.84,21
599,  1447.40,14
600,  1449.97,16
601,  1452.53,12
602,  1455.10,17
603,  1457.66,15
604,  1460.23,13
605,  1462.79,11
606,  1465.35,8
607,  1467.92,8
608,  1470.48,14
609,  1473.05,10
610,  1475.61,10
611,  1478.18,17
612,  1480.74,6
613,  1483.31,8
614,  1485.87,8
615,  1488.44,16
616,  1491.00,12
617,  1493.56,15
618,  1496.13,8
619,  1498.69,5
620,  1501.26,7
621,  1503.82,15
622,  1506.39,9
623,  1508.95,9
624,  1511.52,7
625,  1514.08,12
626,  1516.65,8
627,  1519.21,10
628,  1521.77,3
629,  1524.34,8
630,  1526.90,7
631,  1529.47,7
632,  1532.03,8
633,  1534.60,10
634,  1537.16,6
635,  1539.73,7
636,  1542.29,4
637,  1544.85,5
638,  1547.42,7
639,  1549.98,3
640,  1552.55,8
641,  1555.11,7
642,  1557.68,8
643,  1560.24,7
644,  1562.81,7
645,  1565.37,7
646,  1567.94,4
647,  1570.50,6
648,  1573.06,4
649,  1575.63,8
650,  1578.19,4
651,  1580.76,8
652,  1583.32,4
653,  1585.89,6
654,  1588.45,12
655,  1591.02,5
656,  1593.58,3
657,  1596.15,7
658,  1598.71,8
659,  1601.27,12
660,  1603.84,9
661,  1606.40,7
662,  1608.97,5
663,  1611.53,4
664,  1614.10,7
665,  1616.66,11
666,  1619.23,5
667,  1621.79,3
668,  1624.35,5
669,  1626.92,4
670,  1629.48,4
671,  1632.05,4
672,  1634.61,5
673,  1637.18,8
674,  1639.74,2
675,  1642.31,7
676,  1644.87,6
677,  1647.44,4
678,  1650.00,3
679,  1652.56,6
680,  1655.13,3
681,  1657.69,2
682,  1660.26,1
683,  1662.82,2
684,  1665.39,6
685,  1667.95,3
686,  1670.52,7
687,  1673.08,13
688,  1675.65,8
689,  1678.21,4
690,  1680.77,9
691,  1683.34,5
692,  1685.90,5
693,  1688.47,5
694,  1691.03,7
