Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,60.82
Live Time Elapsed:,60.00
Start Time:,Tuesday, January 21, 2025, 14:50:47
End Time:,Tuesday, January 21, 2025, 14:51:48

Channel Data:
Chan,Energy,Counts
435,  1026.82,100
436,  1029.39,75
437,  1031.95,77
438,  1034.52,70
439,  1037.08,90
440,  1039.65,81
441,  1042.21,107
442,  1044.77,100
443,  1047.34,82
444,  1049.90,104
445,  1052.47,94
446,  1055.03,91
447,  1057.60,88
448,  1060.16,91
449,  1062.73,85
450,  1065.29,92
451,  1067.85,91
452,  1070.42,97
453,  1072.98,79
454,  1075.55,79
455,  1078.11,110
456,  1080.68,86
457,  1083.24,92
458,  1085.81,103
459,  1088.37,104
460,  1090.94,113
461,  1093.50,123
462,  1096.06,128
463,  1098.63,115
464,  1101.19,129
465,  1103.76,138
466,  1106.32,137
467,  1108.89,130
468,  1111.45,125
469,  1114.02,151
470,  1116.58,177
471,  1119.15,180
472,  1121.71,177
473,  1124.27,193
474,  1126.84,177
475,  1129.40,226
476,  1131.97,212
477,  1134.53,186
478,  1137.10,221
479,  1139.66,242
480,  1142.23,239
481,  1144.79,229
482,  1147.35,244
483,  1149.92,247
484,  1152.48,252
485,  1155.05,230
486,  1157.61,246
487,  1160.18,234
488,  1162.74,231
489,  1165.31,217
490,  1167.87,215
491,  1170.44,205
492,  1173.00,183
493,  1175.56,184
494,  1178.13,179
495,  1180.69,174
496,  1183.26,162
497,  1185.82,139
498,  1188.39,134
499,  1190.95,129
500,  1193.52,110
501,  1196.08,106
502,  1198.65,100
503,  1201.21,77
504,  1203.77,80
505,  1206.34,78
506,  1208.90,67
507,  1211.47,60
508,  1214.03,62
509,  1216.60,68
510,  1219.16,67
511,  1221.73,49
512,  1224.29,43
513,  1226.85,47
514,  1229.42,57
515,  1231.98,65
516,  1234.55,59
517,  1237.11,50
518,  1239.68,59
519,  1242.24,69
520,  1244.81,57
521,  1247.37,72
522,  1249.94,75
523,  1252.50,69
524,  1255.06,80
525,  1257.63,93
526,  1260.19,97
527,  1262.76,103
528,  1265.32,104
529,  1267.89,119
530,  1270.45,124
531,  1273.02,134
532,  1275.58,131
533,  1278.15,148
534,  1280.71,155
535,  1283.27,154
536,  1285.84,163
537,  1288.40,178
538,  1290.97,165
539,  1293.53,147
540,  1296.10,167
541,  1298.66,195
542,  1301.23,174
543,  1303.79,179
544,  1306.35,176
545,  1308.92,176
546,  1311.48,163
547,  1314.05,156
548,  1316.61,160
549,  1319.18,177
550,  1321.74,160
551,  1324.31,126
552,  1326.87,150
553,  1329.44,135
554,  1332.00,114
555,  1334.56,151
556,  1337.13,138
557,  1339.69,121
558,  1342.26,117
559,  1344.82,108
560,  1347.39,104
561,  1349.95,73
562,  1352.52,88
563,  1355.08,85
564,  1357.65,60
565,  1360.21,69
566,  1362.77,52
567,  1365.34,51
568,  1367.90,50
569,  1370.47,50
570,  1373.03,43
571,  1375.60,28
572,  1378.16,25
573,  1380.73,33
