Chan,Energy,Counts
467,  1108.89,171
468,  1111.45,200
469,  1114.02,193
470,  1116.58,252
471,  1119.15,241
472,  1121.71,222
473,  1124.27,249
474,  1126.84,269
475,  1129.40,265
476,  1131.97,312
477,  1134.53,305
478,  1137.10,304
479,  1139.66,358
480,  1142.23,344
481,  1144.79,348
482,  1147.35,367
483,  1149.92,387
484,  1152.48,382
485,  1155.05,399
486,  1157.61,377
487,  1160.18,389
488,  1162.74,395
489,  1165.31,369
490,  1167.87,397
491,  1170.44,354
492,  1173.00,391
493,  1175.56,360
494,  1178.13,367
495,  1180.69,351
496,  1183.26,321
497,  1185.82,290
498,  1188.39,287
499,  1190.95,269
500,  1193.52,271
501,  1196.08,262
502,  1198.65,264
503,  1201.21,218
504,  1203.77,209
505,  1206.34,154
506,  1208.90,161
507,  1211.47,138
508,  1214.03,157
509,  1216.60,129
510,  1219.16,128
511,  1221.73,124
512,  1224.29,114
513,  1226.85,107
514,  1229.42,97
515,  1231.98,87
516,  1234.55,93
517,  1237.11,112
518,  1239.68,91
519,  1242.24,97
520,  1244.81,90
521,  1247.37,83
522,  1249.94,92
523,  1252.50,85
524,  1255.06,98
525,  1257.63,102
526,  1260.19,102
527,  1262.76,114
528,  1265.32,131
529,  1267.89,139
530,  1270.45,139
531,  1273.02,168
532,  1275.58,158
533,  1278.15,183
534,  1280.71,205
535,  1283.27,222
536,  1285.84,216
537,  1288.40,222
538,  1290.97,238
539,  1293.53,232
540,  1296.10,265
541,  1298.66,240
542,  1301.23,282
543,  1303.79,270
544,  1306.35,262
545,  1308.92,287
546,  1311.48,317
547,  1314.05,290
548,  1316.61,267
549,  1319.18,302
550,  1321.74,300
551,  1324.31,298
552,  1326.87,264
553,  1329.44,310
554,  1332.00,265
555,  1334.56,241
556,  1337.13,254
557,  1339.69,250
558,  1342.26,216
559,  1344.82,214
560,  1347.39,210
561,  1349.95,195
562,  1352.52,206
563,  1355.08,154
564,  1357.65,167
565,  1360.21,148
566,  1362.77,154
567,  1365.34,134
568,  1367.90,105
569,  1370.47,98
570,  1373.03,102
571,  1375.60,101
572,  1378.16,88
573,  1380.73,79
574,  1383.29,73
575,  1385.85,77
576,  1388.42,53
577,  1390.98,54
578,  1393.55,54
579,  1396.11,46
580,  1398.68,35
581,  1401.24,28
582,  1403.81,29
583,  1406.37,18
584,  1408.94,35
585,  1411.50,25
586,  1414.06,17
587,  1416.63,28
588,  1419.19,19
589,  1421.76,25
590,  1424.32,17
591,  1426.89,18
592,  1429.45,20
593,  1432.02,20
594,  1434.58,20
595,  1437.15,14
596,  1439.71,3
597,  1442.27,18
598,  1444.84,18
599,  1447.40,10
600,  1449.97,15
601,  1452.53,8
602,  1455.10,6
603,  1457.66,12
604,  1460.23,9
605,  1462.79,11
606,  1465.35,10
607,  1467.92,6
608,  1470.48,4
609,  1473.05,6
610,  1475.61,9
611,  1478.18,9
612,  1480.74,14
613,  1483.31,4
614,  1485.87,12
615,  1488.44,10
616,  1491.00,8
617,  1493.56,7
618,  1496.13,5
619,  1498.69,7
620,  1501.26,7
621,  1503.82,5
622,  1506.39,5
623,  1508.95,7
624,  1511.52,8
625,  1514.08,6
626,  1516.65,9
627,  1519.21,4
628,  1521.77,7
629,  1524.34,3
630,  1526.90,6
631,  1529.47,8
632,  1532.03,5
633,  1534.60,5
634,  1537.16,5
635,  1539.73,10
636,  1542.29,8
637,  1544.85,7
638,  1547.42,5
639,  1549.98,6
640,  1552.55,8
641,  1555.11,3
642,  1557.68,7
643,  1560.24,11
644,  1562.81,2
645,  1565.37,6
646,  1567.94,7
647,  1570.50,7
648,  1573.06,6
649,  1575.63,7
650,  1578.19,8
651,  1580.76,6
652,  1583.32,5
653,  1585.89,7
654,  1588.45,1
655,  1591.02,2
656,  1593.58,6
657,  1596.15,6
658,  1598.71,6
659,  1601.27,4
660,  1603.84,6
661,  1606.40,8
662,  1608.97,4
663,  1611.53,5
664,  1614.10,8
665,  1616.66,4
666,  1619.23,5
667,  1621.79,2
668,  1624.35,6
669,  1626.92,8
670,  1629.48,6
671,  1632.05,6
672,  1634.61,4
673,  1637.18,7
674,  1639.74,9
675,  1642.31,4
676,  1644.87,7
677,  1647.44,3
678,  1650.00,3
679,  1652.56,6
680,  1655.13,3
681,  1657.69,4
682,  1660.26,6
683,  1662.82,7
684,  1665.39,6
685,  1667.95,5
686,  1670.52,5
687,  1673.08,3
688,  1675.65,4
689,  1678.21,2
690,  1680.77,2
691,  1683.34,5
692,  1685.90,4
693,  1688.47,5
694,  1691.03,7
695,  1693.60,4
696,  1696.16,4
697,  1698.73,4
698,  1701.29,1
699,  1703.85,1
700,  1706.42,3
701,  1708.98,3
702,  1711.55,4
703,  1714.11,6
704,  1716.68,5
705,  1719.24,6
