Chan,Energy,Counts
487,  1160.18,2
488,  1162.74,3
489,  1165.31,1
490,  1167.87,2
491,  1170.44,3
492,  1173.00,4
493,  1175.56,2
494,  1178.13,1
495,  1180.69,3
496,  1183.26,0
497,  1185.82,4
498,  1188.39,2
499,  1190.95,3
500,  1193.52,2
501,  1196.08,2
502,  1198.65,3
503,  1201.21,0
504,  1203.77,4
505,  1206.34,3
506,  1208.90,1
507,  1211.47,1
508,  1214.03,1
509,  1216.60,0
510,  1219.16,3
511,  1221.73,0
512,  1224.29,0
513,  1226.85,1
514,  1229.42,1
515,  1231.98,2
516,  1234.55,2
517,  1237.11,1
518,  1239.68,3
519,  1242.24,0
520,  1244.81,3
521,  1247.37,0
522,  1249.94,0
523,  1252.50,0
524,  1255.06,0
525,  1257.63,1
526,  1260.19,2
527,  1262.76,2
528,  1265.32,0
529,  1267.89,1
530,  1270.45,0
531,  1273.02,0
532,  1275.58,4
533,  1278.15,1
534,  1280.71,2
535,  1283.27,1
536,  1285.84,0
537,  1288.40,1
538,  1290.97,4
539,  1293.53,2
540,  1296.10,3
541,  1298.66,3
542,  1301.23,1
543,  1303.79,2
544,  1306.35,1
545,  1308.92,0
546,  1311.48,1
547,  1314.05,3
548,  1316.61,2
549,  1319.18,2
550,  1321.74,3
551,  1324.31,2
552,  1326.87,0
553,  1329.44,2
554,  1332.00,2
555,  1334.56,2
556,  1337.13,4
557,  1339.69,1
558,  1342.26,0
559,  1344.82,1
560,  1347.39,2
561,  1349.95,1
562,  1352.52,1
563,  1355.08,2
564,  1357.65,0
565,  1360.21,1
566,  1362.77,0
567,  1365.34,4
568,  1367.90,0
569,  1370.47,1
570,  1373.03,0
571,  1375.60,1
572,  1378.16,2
573,  1380.73,2
574,  1383.29,1
575,  1385.85,1
576,  1388.42,1
577,  1390.98,0
578,  1393.55,1
579,  1396.11,0
580,  1398.68,1
581,  1401.24,0
582,  1403.81,2
583,  1406.37,0
584,  1408.94,1
585,  1411.50,0
586,  1414.06,2
587,  1416.63,3
588,  1419.19,2
589,  1421.76,1
590,  1424.32,0
591,  1426.89,0
592,  1429.45,1
593,  1432.02,1
594,  1434.58,0
595,  1437.15,1
596,  1439.71,1
597,  1442.27,0
598,  1444.84,2
599,  1447.40,0
600,  1449.97,1
601,  1452.53,0
602,  1455.10,0
603,  1457.66,0
604,  1460.23,4
605,  1462.79,0
606,  1465.35,3
607,  1467.92,1
608,  1470.48,2
609,  1473.05,1
610,  1475.61,2
611,  1478.18,0
612,  1480.74,0
613,  1483.31,1
614,  1485.87,0
615,  1488.44,1
616,  1491.00,0
617,  1493.56,0
618,  1496.13,0
619,  1498.69,0
620,  1501.26,2
621,  1503.82,1
622,  1506.39,0
623,  1508.95,0
624,  1511.52,0
625,  1514.08,0
626,  1516.65,1
627,  1519.21,0
628,  1521.77,0
629,  1524.34,0
630,  1526.90,0
631,  1529.47,0
632,  1532.03,1
633,  1534.60,0
634,  1537.16,1
635,  1539.73,0
636,  1542.29,1
637,  1544.85,0
638,  1547.42,0
639,  1549.98,0
640,  1552.55,0
641,  1555.11,0
642,  1557.68,0
643,  1560.24,0
644,  1562.81,0
645,  1565.37,1
646,  1567.94,0
647,  1570.50,1
648,  1573.06,0
649,  1575.63,0
650,  1578.19,0
651,  1580.76,0
652,  1583.32,0
653,  1585.89,0
654,  1588.45,0
655,  1591.02,1
656,  1593.58,0
657,  1596.15,0
658,  1598.71,1
659,  1601.27,0
660,  1603.84,0
661,  1606.40,2
662,  1608.97,0
663,  1611.53,0
664,  1614.10,1
665,  1616.66,0
666,  1619.23,0
667,  1621.79,0
668,  1624.35,0
669,  1626.92,0
670,  1629.48,0
671,  1632.05,0
672,  1634.61,0
673,  1637.18,0
674,  1639.74,0
675,  1642.31,0
676,  1644.87,0
677,  1647.44,1
678,  1650.00,0
679,  1652.56,0
680,  1655.13,0
681,  1657.69,0
682,  1660.26,0
683,  1662.82,0
684,  1665.39,1
685,  1667.95,2
686,  1670.52,0
687,  1673.08,1
688,  1675.65,0
689,  1678.21,0
690,  1680.77,0
691,  1683.34,1
692,  1685.90,1
693,  1688.47,0
694,  1691.03,0
695,  1693.60,0
696,  1696.16,1
697,  1698.73,0
698,  1701.29,0
699,  1703.85,0
700,  1706.42,3
701,  1708.98,0
702,  1711.55,0
703,  1714.11,0
704,  1716.68,0
705,  1719.24,0
706,  1721.81,0
707,  1724.37,0
708,  1726.94,0
709,  1729.50,0
710,  1732.06,0
711,  1734.63,0
712,  1737.19,0
713,  1739.76,0
714,  1742.32,0
715,  1744.89,0
716,  1747.45,0
717,  1750.02,0
718,  1752.58,1
719,  1755.15,0
720,  1757.71,1
721,  1760.27,0
722,  1762.84,0
723,  1765.40,0
724,  1767.97,0
725,  1770.53,0
726,  1773.10,0
727,  1775.66,0
728,  1778.23,0
729,  1780.79,0
730,  1783.35,0
731,  1785.92,0
732,  1788.48,0
733,  1791.05,0
734,  1793.61,0
735,  1796.18,0
736,  1798.74,0
737,  1801.31,0
738,  1803.87,0
739,  1806.44,0
740,  1809.00,0
741,  1811.56,1
742,  1814.13,0
743,  1816.69,1
744,  1819.26,0
745,  1821.82,0
746,  1824.39,0
747,  1826.95,0
748,  1829.52,0
749,  1832.08,0
750,  1834.65,0
751,  1837.21,0
752,  1839.77,0
753,  1842.34,0
754,  1844.90,0
755,  1847.47,1
756,  1850.03,0
757,  1852.60,0
758,  1855.16,0
759,  1857.73,0
760,  1860.29,1
761,  1862.85,0
762,  1865.42,0
763,  1867.98,0
764,  1870.55,0
765,  1873.11,0
766,  1875.68,0
767,  1878.24,0
768,  1880.81,0
769,  1883.37,0
770,  1885.94,0
771,  1888.50,1
772,  1891.06,0
773,  1893.63,1
774,  1896.19,0
775,  1898.76,0
776,  1901.32,0
777,  1903.89,0
778,  1906.45,0
779,  1909.02,0
780,  1911.58,1
781,  1914.15,0
782,  1916.71,1
783,  1919.27,0
784,  1921.84,0
785,  1924.40,0
786,  1926.97,0
787,  1929.53,0
788,  1932.10,0
789,  1934.66,0
790,  1937.23,0
791,  1939.79,0
792,  1942.35,0
793,  1944.92,0
794,  1947.48,1
795,  1950.05,1
796,  1952.61,0
797,  1955.18,0
798,  1957.74,0
799,  1960.31,0
800,  1962.87,0
801,  1965.44,0
802,  1968.00,0
803,  1970.56,0
804,  1973.13,0
805,  1975.69,0
806,  1978.26,0
807,  1980.82,0
808,  1983.39,0
